legs,hair,feathers,eggs,milk,airborne,aquatic,predator,toothed,backbone,breathes,venomous,fins,tail,domestic,catsize,outcome
?,0.0,?,?,0.0,?,?,?,?,?,0.0,0.0,?,0.0,?,?,0
?,0.0,?,0.0,?,0.0,1.0,?,1.0,?,0.0,?,?,?,0.0,0.0,0
0.0,?,?,1.0,0.0,?,?,1.0,0.0,?,0.0,?,?,0.0,0.0,0.0,0
4.0,0.0,0.0,?,?,0.0,0.0,1.0,1.0,?,1.0,?,?,?,?,?,0
?,?,?,1.0,0.0,?,0.0,?,?,?,1.0,?,?,?,0.0,?,0
4.0,?,0.0,?,1.0,0.0,?,1.0,?,1.0,?,0.0,0.0,?,0.0,?,1
2.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,?,?,?,?,0.0,0
?,0.0,1.0,?,?,?,?,1.0,0.0,1.0,?,?,?,?,0.0,1.0,0
4.0,?,0.0,0.0,?,?,?,0.0,?,1.0,?,?,0.0,?,1.0,?,1
?,1.0,0.0,?,?,?,?,1.0,0.0,1.0,?,0.0,?,?,0.0,1.0,1
4.0,?,0.0,?,?,?,0.0,?,1.0,1.0,?,0.0,0.0,1.0,?,?,1
?,?,1.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,?,?,?,1.0,?,0.0,0
4.0,?,0.0,0.0,?,?,0.0,1.0,?,?,?,?,?,1.0,0.0,?,1
6.0,1.0,0.0,?,?,?,0.0,0.0,0.0,0.0,?,1.0,?,0.0,0.0,0.0,0
?,?,?,1.0,0.0,0.0,1.0,1.0,1.0,?,0.0,0.0,?,1.0,0.0,0.0,0
?,0.0,?,1.0,0.0,0.0,1.0,1.0,1.0,?,?,?,1.0,1.0,0.0,1.0,0
?,?,?,1.0,?,?,?,1.0,0.0,?,?,?,?,?,?,0.0,0
?,?,1.0,1.0,?,1.0,0.0,0.0,?,1.0,?,?,0.0,?,1.0,?,0
?,0.0,0.0,?,?,0.0,1.0,0.0,1.0,1.0,1.0,0.0,?,0.0,0.0,?,0
4.0,?,?,?,?,0.0,?,?,?,1.0,?,?,?,?,?,?,1
?,0.0,?,1.0,?,?,?,0.0,0.0,1.0,?,0.0,?,?,?,?,0
2.0,1.0,?,?,1.0,?,?,?,?,1.0,?,?,0.0,?,?,1.0,1
?,0.0,0.0,?,?,0.0,?,?,1.0,1.0,?,1.0,?,0.0,?,?,0
?,?,1.0,1.0,0.0,1.0,?,1.0,0.0,1.0,1.0,?,0.0,1.0,0.0,0.0,0
4.0,1.0,0.0,?,?,?,?,?,1.0,?,?,0.0,?,?,0.0,?,1
4.0,?,?,?,?,0.0,?,?,?,?,?,0.0,?,?,0.0,?,1
?,0.0,?,1.0,?,0.0,0.0,1.0,1.0,?,1.0,?,?,?,0.0,0.0,0
4.0,?,?,?,1.0,?,0.0,?,1.0,?,?,0.0,0.0,?,?,?,1
4.0,?,?,?,1.0,0.0,0.0,0.0,?,?,1.0,?,0.0,?,?,?,1
4.0,1.0,?,?,?,?,0.0,?,1.0,1.0,?,?,?,?,?,?,1
0.0,0.0,?,?,0.0,0.0,1.0,1.0,?,?,?,?,?,1.0,0.0,?,0
2.0,0.0,?,?,0.0,1.0,?,1.0,?,?,?,?,?,1.0,?,?,0
4.0,1.0,?,?,?,0.0,0.0,0.0,?,1.0,?,0.0,0.0,1.0,?,?,1
?,?,?,1.0,0.0,?,?,0.0,?,1.0,?,0.0,?,1.0,0.0,1.0,0
4.0,?,?,?,1.0,?,?,1.0,?,1.0,?,?,0.0,?,?,?,1
?,0.0,?,1.0,0.0,1.0,0.0,0.0,0.0,1.0,?,0.0,0.0,1.0,0.0,1.0,0
?,0.0,?,1.0,0.0,1.0,?,0.0,?,?,?,?,?,?,0.0,?,0
6.0,1.0,0.0,?,0.0,?,?,?,?,0.0,?,0.0,0.0,0.0,?,?,0
?,?,0.0,1.0,?,?,0.0,0.0,0.0,0.0,?,0.0,0.0,?,0.0,?,0
?,?,?,?,?,0.0,?,1.0,?,?,?,?,0.0,?,?,1.0,1
2.0,1.0,?,?,1.0,0.0,?,?,1.0,1.0,1.0,?,?,?,?,0.0,1
4.0,?,0.0,?,?,0.0,?,?,?,?,1.0,0.0,?,?,?,1.0,1
4.0,1.0,?,?,?,?,?,?,1.0,1.0,?,0.0,?,?,?,?,1
?,?,?,?,?,1.0,?,1.0,0.0,1.0,1.0,?,?,?,?,0.0,0
?,0.0,?,?,0.0,0.0,1.0,?,?,?,0.0,0.0,1.0,1.0,?,0.0,0
4.0,1.0,?,0.0,?,?,0.0,?,?,1.0,?,?,0.0,?,?,?,1
?,0.0,0.0,?,?,?,1.0,1.0,?,?,?,0.0,0.0,0.0,?,0.0,0
?,1.0,0.0,?,?,0.0,?,1.0,?,?,?,?,0.0,1.0,?,?,1
0.0,?,?,?,0.0,0.0,1.0,1.0,?,?,0.0,?,1.0,1.0,0.0,0.0,0
?,?,?,1.0,0.0,0.0,0.0,?,0.0,?,1.0,?,?,?,0.0,0.0,0
