Roger_Ebert,Jeffrey_Lyons,Michael_Medved,Rex_Reed,Gene_Shalit,Joel_Siegel,Gene_Siskel,binaryClass
Pro,Mixed,Con,Con,Pro,Pro,?,0
?,Con,Mixed,Con,?,Pro,?,0
?,Pro,?,Con,?,Con,?,0
?,Con,?,Mixed,?,Con,?,1
?,Con,?,Con,?,Mixed,?,0
?,Con,?,Con,?,?,?,1
Mixed,Pro,Con,Con,?,?,?,1
Pro,Pro,?,?,?,Pro,Pro,0
Pro,Mixed,Pro,Con,?,?,?,0
Pro,Pro,?,Pro,?,?,Pro,0
Mixed,?,?,?,?,?,Mixed,1
Mixed,Pro,?,?,?,Mixed,?,0
Mixed,Pro,Con,?,?,Mixed,Mixed,0
Pro,Pro,?,?,?,?,?,1
Mixed,Mixed,Con,Con,?,?,Con,1
Mixed,?,?,?,?,Pro,?,0
Mixed,Mixed,Con,Mixed,Pro,?,Mixed,0
Con,?,Mixed,?,?,?,Mixed,0
?,Mixed,Pro,?,?,?,?,1
Mixed,Pro,?,?,?,?,Mixed,0
Mixed,Con,?,Con,?,?,?,0
Con,?,?,?,?,?,?,1
?,Pro,Mixed,?,?,?,?,0
Mixed,Mixed,?,Con,?,Pro,Pro,0
Mixed,Con,?,?,?,Con,?,0
?,?,?,?,?,Con,?,0
Pro,Pro,Pro,?,?,Mixed,Pro,1
Mixed,Mixed,?,Con,?,Con,Con,0
Pro,?,?,?,?,?,?,0
Mixed,Con,Con,Con,Con,?,Con,1
?,Con,?,?,?,?,Mixed,0
Pro,?,Mixed,?,?,Mixed,Pro,0
Mixed,Mixed,?,Con,Con,Con,Con,1
Pro,?,?,?,?,Pro,?,0
?,?,?,?,?,Pro,?,1
?,?,?,Con,?,?,?,0
Pro,?,Pro,Pro,?,Pro,?,0
Con,?,?,?,?,?,?,0
Pro,?,?,Pro,?,?,?,1
?,Pro,Con,?,Pro,Pro,?,0
Mixed,Mixed,?,Con,?,Mixed,Pro,0
Pro,Mixed,?,?,?,?,Pro,0
?,?,Pro,?,?,?,?,0
Pro,Mixed,Mixed,Pro,Pro,?,Pro,0
Pro,Pro,?,Con,?,Con,Mixed,0
Mixed,Pro,Pro,?,?,Pro,?,1
Con,Con,Con,Con,Con,Pro,Con,1
?,Pro,?,?,?,?,?,0
?,Pro,?,?,?,?,?,1
Mixed,?,?,Con,?,?,Pro,1
?,Pro,Mixed,Pro,?,?,?,0
Pro,?,Pro,Pro,?,?,Con,0
Con,Pro,?,?,Mixed,Pro,Pro,0
?,Con,Con,?,?,?,?,1
?,Pro,?,?,?,?,?,0
?,Mixed,?,?,?,?,?,0
?,Pro,?,Con,?,?,?,0
Pro,Pro,Mixed,?,?,Pro,Mixed,0
Pro,Mixed,?,?,?,Con,Pro,0
Con,?,Con,Mixed,?,?,Con,1
Mixed,Con,?,?,?,Mixed,Con,1
?,Pro,Pro,?,?,Pro,Pro,0
Mixed,Con,?,Con,?,?,?,1
?,Con,?,?,?,?,?,1
Pro,Pro,?,?,Pro,Mixed,Pro,0
Pro,Pro,?,?,?,?,?,0
?,Con,?,?,?,?,?,0
Mixed,Mixed,Pro,Mixed,?,Con,Mixed,1
?,Pro,?,?,?,?,Pro,0
Pro,Pro,?,?,?,?,Pro,0
Mixed,Pro,Con,?,Con,?,Mixed,1
Con,Pro,Pro,?,?,?,?,1
?,Con,?,Pro,Pro,Con,?,0
Pro,Con,Con,Con,?,Pro,Mixed,1
?,Pro,?,?,?,?,?,0
?,?,?,?,?,Pro,?,0
?,Pro,?,Pro,?,?,?,0
Pro,Pro,Con,?,Pro,Pro,Pro,0
?,Pro,Pro,Con,?,?,?,0
Con,Pro,?,Mixed,Con,Pro,Con,0
Mixed,Con,Mixed,Con,?,Mixed,?,0
Con,?,?,Pro,?,?,Mixed,0
?,Con,?,?,?,?,?,0
Con,?,Pro,Pro,?,Pro,Pro,0
Pro,Pro,Mixed,Pro,?,Con,Con,1
?,Con,Con,Con,Pro,Pro,Pro,1
Pro,?,?,?,?,?,Con,1
Mixed,?,Mixed,?,?,Mixed,Mixed,1
Pro,Mixed,?,Con,?,Con,Mixed,1
Pro,?,?,?,?,?,Pro,1
Con,Con,?,?,?,?,Con,1
Pro,?,?,?,?,?,Pro,0
Pro,Pro,Con,Pro,?,?,Pro,0
Pro,Mixed,Pro,?,Pro,?,Mixed,1
?,?,?,?,?,Pro,?,1
Pro,Pro,?,Pro,?,?,?,0
Pro,?,?,?,?,?,?,0
?,Mixed,Mixed,Pro,Mixed,Pro,Mixed,0
Con,Con,?,Con,?,Con,Con,1
Pro,?,?,?,?,?,Pro,1
Pro,?,Pro,Pro,?,Pro,Pro,1
Con,Pro,?,?,?,Con,Con,1
Con,Pro,?,?,?,?,Con,1
?,Mixed,?,Con,?,?,?,1
Mixed,Pro,Pro,?,Con,Con,Mixed,1
Pro,?,?,Mixed,?,?,?,1
?,Con,?,Con,Mixed,Pro,?,1
Pro,Con,?,?,?,?,Pro,1
Pro,?,Pro,?,?,?,?,1
?,?,Pro,Con,?,?,?,0
?,Mixed,?,?,?,?,?,0
?,?,Pro,Pro,?,Pro,?,0
Con,Con,?,?,?,?,Con,1
?,Pro,?,?,?,?,?,1
Pro,Con,Con,?,?,?,Pro,1
Pro,Pro,Pro,Pro,?,Pro,Pro,1
Pro,Pro,?,?,Pro,Pro,Pro,0
Pro,Pro,Con,Con,Pro,Pro,Con,0
Pro,Pro,?,Pro,Mixed,Pro,Pro,0
?,Pro,?,Mixed,?,?,?,1
Pro,Pro,Pro,?,?,Pro,Pro,0
Pro,Pro,?,Pro,?,?,Mixed,0
?,?,Con,Con,?,?,Pro,0
Con,?,Mixed,?,?,?,?,1
Pro,Pro,?,?,?,?,Pro,0
Pro,?,Con,Con,?,?,?,1
Pro,Pro,?,?,?,?,Pro,0
Pro,?,?,Con,?,?,?,0
Con,Pro,Pro,?,Mixed,Con,Con,1
?,?,?,?,?,?,Con,1
?,Pro,Mixed,Pro,?,?,?,0
Pro,Pro,?,?,?,Pro,?,0
?,?,Mixed,Pro,?,Pro,?,1
?,Con,?,?,?,Con,?,1
Pro,?,Pro,?,?,?,?,0
Pro,Mixed,?,?,Pro,?,Mixed,0
Mixed,Con,Con,Con,?,Con,Pro,0
Con,Con,?,Con,?,Con,?,1
?,Pro,Pro,Pro,?,?,?,1
?,Pro,Pro,Mixed,?,Pro,?,1
?,Con,?,?,?,?,?,1
?,Pro,?,Pro,?,?,?,1
Mixed,Con,Con,?,?,?,?,1
?,Pro,Con,?,?,?,?,0
?,Pro,Mixed,Mixed,?,?,Mixed,0
Con,Con,?,?,?,?,Con,1
Pro,Pro,Pro,Pro,Pro,Pro,Pro,0
Con,Con,Con,Con,?,?,Con,1
?,Pro,?,?,?,?,?,0
?,?,Pro,?,?,?,?,0
Con,Con,Pro,Con,?,Con,Pro,1
Pro,Con,Con,Con,?,Con,Pro,1
Con,?,?,?,?,?,Con,1
Mixed,Mixed,?,Con,?,?,?,1
Pro,?,?,?,?,?,Mixed,0
Pro,?,?,?,?,?,?,1
?,Pro,?,Mixed,?,Con,?,1
Pro,Con,Pro,?,?,?,Pro,0
?,Pro,Con,Mixed,Pro,?,?,1
?,Pro,Mixed,Pro,Pro,Pro,?,0
Pro,Pro,Con,Mixed,?,Pro,Pro,0
Pro,?,Pro,Con,?,Pro,Pro,0
Mixed,Pro,?,Pro,Pro,Pro,Pro,0
Con,Con,Pro,?,?,?,Mixed,0
Pro,?,?,?,?,?,Mixed,1
Con,?,?,?,?,Con,Con,1
Con,?,?,?,?,Pro,?,0
Pro,Pro,Pro,Pro,Pro,Pro,Pro,0
?,Pro,?,Con,?,Pro,?,0
?,Pro,?,Mixed,Pro,Pro,?,0
?,?,?,Pro,?,?,?,0
Mixed,Mixed,Mixed,Mixed,Mixed,?,Mixed,0
Pro,Con,Pro,Pro,?,Con,Pro,0
?,Con,Con,Pro,?,?,?,0
?,?,Pro,?,?,Pro,?,0
?,Pro,?,Con,?,?,?,0
?,?,?,Pro,?,?,?,0
?,Con,Con,?,?,?,?,1
Pro,Mixed,?,Con,?,Con,Mixed,0
Pro,Mixed,?,Pro,?,?,?,1
?,Con,?,Con,?,Mixed,?,1
Pro,Pro,Mixed,?,?,?,Pro,0
Pro,Pro,Pro,Con,?,Pro,Pro,1
?,?,?,?,?,?,Mixed,1
?,Pro,?,Pro,?,?,?,0
Con,Pro,Con,?,?,Con,Con,1
Mixed,Con,Con,?,?,?,Mixed,1
?,?,?,Pro,?,Mixed,?,0
Pro,Pro,Con,Mixed,Mixed,Pro,Pro,0
