RIVER,LOCATION,ERECTED,PURPOSE,LENGTH,LANES,CLEAR-G,T-OR-D,MATERIAL,SPAN,REL-L,binaryClass
M,5.0,1927,HIGHWAY,2663.0,4.0,N,DECK,STEEL,MEDIUM,S-F,0
M,9.0,1962,HIGHWAY,2213.0,4.0,G,DECK,STEEL,LONG,F,0
A,37.0,1897,RR,4000.0,2.0,G,DECK,STEEL,LONG,F,1
Y,52.0,1945,HIGHWAY,?,?,G,THROUGH,STEEL,MEDIUM,S,0
A,33.0,1900,HIGHWAY,1200.0,2.0,G,THROUGH,STEEL,MEDIUM,F,1
A,39.0,1848,AQUEDUCT,?,1.0,N,DECK,WOOD,?,S,0
O,41.0,1888,RR,4558.0,2.0,G,THROUGH,STEEL,LONG,F,1
M,1.0,1876,HIGHWAY,1245.0,?,?,THROUGH,STEEL,LONG,F,0
M,23.0,1909,HIGHWAY,?,?,G,THROUGH,STEEL,MEDIUM,F,1
M,1.0,1959,HIGHWAY,1000.0,6.0,G,THROUGH,STEEL,LONG,F,0
M,6.0,1931,HIGHWAY,1500.0,4.0,G,THROUGH,STEEL,LONG,F,0
A,26.0,1884,HIGHWAY,1080.0,2.0,G,THROUGH,STEEL,MEDIUM,?,0
A,28.0,1844,AQUEDUCT,1000.0,1.0,N,THROUGH,IRON,SHORT,S,0
A,37.0,1955,HIGHWAY,2300.0,4.0,N,DECK,STEEL,LONG,F,0
A,25.0,1928,HIGHWAY,860.0,4.0,G,THROUGH,STEEL,MEDIUM,S-F,0
M,21.0,1903,RR,1154.0,?,G,THROUGH,STEEL,LONG,F,1
M,7.0,1978,HIGHWAY,950.0,6.0,G,THROUGH,STEEL,LONG,F,0
O,48.0,1945,HIGHWAY,2160.0,2.0,G,THROUGH,STEEL,LONG,F,0
A,28.0,1904,RR,965.0,4.0,G,THROUGH,STEEL,MEDIUM,S-F,1
A,30.0,1887,HIGHWAY,?,2.0,G,THROUGH,IRON,MEDIUM,F,1
M,14.0,1897,RR,2264.0,?,G,THROUGH,STEEL,?,F,1
Y,51.0,1945,RR,?,?,G,THROUGH,STEEL,MEDIUM,F,1
O,42.0,1955,HIGHWAY,804.0,?,G,THROUGH,STEEL,?,F,1
A,32.0,1924,HIGHWAY,2365.0,4.0,G,THROUGH,STEEL,MEDIUM,S,0
A,24.0,1969,HIGHWAY,870.0,6.0,G,THROUGH,STEEL,MEDIUM,F,0
A,29.0,1923,HIGHWAY,885.0,4.0,G,THROUGH,STEEL,MEDIUM,F,0
A,28.0,1857,RR,?,2.0,N,THROUGH,WOOD,?,S,0
O,46.0,1927,HIGHWAY,1770.0,2.0,G,THROUGH,STEEL,LONG,S-F,0
M,10.0,1882,RR,?,2.0,G,?,STEEL,?,?,1
M,4.0,1904,RR,1200.0,2.0,G,THROUGH,STEEL,MEDIUM,S-F,1
O,43.0,1982,HIGHWAY,?,?,G,?,?,?,F,0
M,3.0,1818,HIGHWAY,?,2.0,N,THROUGH,WOOD,SHORT,S,0
O,40.0,1931,HIGHWAY,1365.0,4.0,G,THROUGH,STEEL,LONG,F,0
A,26.0,1926,HIGHWAY,884.0,4.0,G,THROUGH,STEEL,MEDIUM,S-F,0
A,39.5,1945,HIGHWAY,1060.0,4.0,G,DECK,STEEL,MEDIUM,S-F,0
M,23.0,1838,HIGHWAY,?,2.0,N,THROUGH,WOOD,?,S,0
Y,?,1908,HIGHWAY,1240.0,?,G,?,STEEL,MEDIUM,F,1
M,16.0,1874,RR,?,2.0,?,THROUGH,IRON,?,?,1
A,29.0,1851,HIGHWAY,1000.0,2.0,N,THROUGH,WOOD,MEDIUM,S,0
A,38.0,1900,HIGHWAY,2000.0,2.0,G,THROUGH,STEEL,MEDIUM,F,1
M,2.0,1904,RR,1504.0,?,G,THROUGH,STEEL,LONG,F,0
A,32.0,1870,HIGHWAY,1000.0,2.0,N,THROUGH,WOOD,MEDIUM,S,0
O,47.0,1959,HIGHWAY,1700.0,2.0,G,THROUGH,STEEL,LONG,F,0
M,4.0,1863,RR,1000.0,2.0,N,THROUGH,IRON,MEDIUM,?,1
M,12.0,1883,RR,1150.0,2.0,G,THROUGH,STEEL,MEDIUM,S,1
M,11.0,1894,HIGHWAY,?,2.0,G,THROUGH,IRON,MEDIUM,F,1
A,27.0,1840,HIGHWAY,990.0,2.0,N,THROUGH,WOOD,MEDIUM,S,0
O,41.0,1915,RR,2822.0,2.0,G,THROUGH,STEEL,LONG,F,1
O,45.0,1890,HIGHWAY,?,2.0,G,THROUGH,IRON,SHORT,F,1
M,9.0,1895,HIGHWAY,2367.0,2.0,G,THROUGH,STEEL,LONG,F,1
A,33.0,1856,HIGHWAY,?,2.0,N,THROUGH,WOOD,?,S,0
A,29.0,1837,HIGHWAY,1000.0,2.0,N,THROUGH,WOOD,SHORT,S,0
M,16.0,1903,RR,1300.0,2.0,G,THROUGH,STEEL,MEDIUM,S,1
